Recency,Frequency,Monetary,Cluster,Segment
114,4,40796,1,Regular Shoppers
43,8,101242,3,Potential High-Value
136,23,158577,0,Loyal Customers
404,3,11297,2,Churned Customers
214,4,50096,1,Regular Shoppers
123,7,67523,1,Regular Shoppers
26,9,59591,1,Regular Shoppers
3,28,414572,0,Loyal Customers
75,3,36497,1,Regular Shoppers
33,24,206442,0,Loyal Customers
142,7,58543,1,Regular Shoppers
62,3,5397,1,Regular Shoppers
590,2,5398,2,Churned Customers
155,5,59095,1,Regular Shoppers
396,2,4498,2,Churned Customers
11,4,44996,1,Regular Shoppers
352,7,24093,2,Churned Customers
158,4,64296,1,Regular Shoppers
162,8,42243,1,Regular Shoppers
67,6,49494,1,Regular Shoppers
158,4,28676,1,Regular Shoppers
105,10,146640,3,Potential High-Value
2,4,5096,1,Regular Shoppers
12,11,80650,3,Potential High-Value
60,7,52493,1,Regular Shoppers
182,6,29294,1,Regular Shoppers
416,9,39162,2,Churned Customers
111,9,130291,3,Potential High-Value
41,7,18793,1,Regular Shoppers
74,10,15240,1,Regular Shoppers
270,6,126944,2,Churned Customers
86,10,112340,3,Potential High-Value
22,7,14364,1,Regular Shoppers
73,19,135777,3,Potential High-Value
156,8,194692,3,Potential High-Value
6,29,303921,0,Loyal Customers
93,7,68843,1,Regular Shoppers
75,5,53795,1,Regular Shoppers
0,6,13594,1,Regular Shoppers
285,2,41498,2,Churned Customers
187,1,29999,1,Regular Shoppers
70,20,205886,0,Loyal Customers
129,18,266782,0,Loyal Customers
6,29,225507,0,Loyal Customers
28,7,91493,3,Potential High-Value
124,4,57496,1,Regular Shoppers
40,10,93490,3,Potential High-Value
180,7,49593,1,Regular Shoppers
180,9,37191,1,Regular Shoppers
60,10,64240,1,Regular Shoppers
150,2,1398,1,Regular Shoppers
48,10,52100,1,Regular Shoppers
271,3,21797,2,Churned Customers
9,48,482763,0,Loyal Customers
16,22,210509,0,Loyal Customers
31,7,9293,1,Regular Shoppers
5,9,60691,1,Regular Shoppers
134,4,31996,1,Regular Shoppers
178,5,7245,1,Regular Shoppers
136,3,55997,1,Regular Shoppers
90,4,7296,1,Regular Shoppers
37,22,187578,0,Loyal Customers
73,1,89999,1,Regular Shoppers
5,28,212733,0,Loyal Customers
26,18,135412,3,Potential High-Value
114,10,64520,1,Regular Shoppers
155,5,95117,1,Regular Shoppers
36,10,75051,3,Potential High-Value
51,9,125801,3,Potential High-Value
254,4,2976,2,Churned Customers
31,13,32437,1,Regular Shoppers
13,6,19794,1,Regular Shoppers
6,30,320720,0,Loyal Customers
36,4,9796,1,Regular Shoppers
11,9,22791,1,Regular Shoppers
59,8,126422,3,Potential High-Value
213,10,137490,3,Potential High-Value
85,8,25342,1,Regular Shoppers
167,1,2999,1,Regular Shoppers
179,6,26895,1,Regular Shoppers
84,9,82091,3,Potential High-Value
13,3,19997,1,Regular Shoppers
17,9,95291,3,Potential High-Value
0,27,227323,0,Loyal Customers
242,6,24350,1,Regular Shoppers
378,3,7997,2,Churned Customers
423,2,35248,2,Churned Customers
210,5,5995,1,Regular Shoppers
68,17,130633,3,Potential High-Value
4,19,208281,0,Loyal Customers
34,10,101220,3,Potential High-Value
19,15,132686,3,Potential High-Value
135,8,72692,1,Regular Shoppers
310,7,17993,2,Churned Customers
145,7,61844,1,Regular Shoppers
109,17,172333,3,Potential High-Value
124,1,5999,1,Regular Shoppers
23,17,243573,0,Loyal Customers
26,4,76496,1,Regular Shoppers
156,10,89790,3,Potential High-Value
584,3,5197,2,Churned Customers
4,6,52294,1,Regular Shoppers
296,3,5497,2,Churned Customers
123,8,70242,1,Regular Shoppers
24,6,5894,1,Regular Shoppers
113,8,36992,1,Regular Shoppers
46,6,120294,3,Potential High-Value
0,26,126224,0,Loyal Customers
61,10,86251,3,Potential High-Value
5,8,95508,3,Potential High-Value
48,5,51495,1,Regular Shoppers
173,2,6498,1,Regular Shoppers
136,6,71294,1,Regular Shoppers
176,5,8695,1,Regular Shoppers
290,2,2298,2,Churned Customers
190,23,421327,0,Loyal Customers
24,6,63994,1,Regular Shoppers
98,11,47450,1,Regular Shoppers
4,9,29547,1,Regular Shoppers
254,3,25197,2,Churned Customers
105,7,73693,1,Regular Shoppers
8,26,282624,0,Loyal Customers
42,10,45890,1,Regular Shoppers
77,9,10991,1,Regular Shoppers
150,3,5997,1,Regular Shoppers
64,9,147591,3,Potential High-Value
77,41,451520,0,Loyal Customers
110,6,61760,1,Regular Shoppers
137,7,59993,1,Regular Shoppers
132,14,134236,3,Potential High-Value
34,27,242053,0,Loyal Customers
274,4,37496,2,Churned Customers
18,17,91733,3,Potential High-Value
128,7,11493,1,Regular Shoppers
34,10,68690,3,Potential High-Value
39,5,55761,1,Regular Shoppers
46,10,102570,3,Potential High-Value
231,3,34097,1,Regular Shoppers
48,18,170632,3,Potential High-Value
22,9,93791,3,Potential High-Value
2,10,114070,3,Potential High-Value
214,8,102792,1,Regular Shoppers
25,9,59041,1,Regular Shoppers
157,2,1598,1,Regular Shoppers
209,5,33245,1,Regular Shoppers
94,6,87350,1,Regular Shoppers
55,27,177613,0,Loyal Customers
13,9,55491,1,Regular Shoppers
25,36,397235,0,Loyal Customers
63,2,17998,1,Regular Shoppers
7,10,78140,3,Potential High-Value
3,9,91741,3,Potential High-Value
82,6,113415,3,Potential High-Value
24,6,106094,3,Potential High-Value
717,1,2499,2,Churned Customers
73,6,6344,1,Regular Shoppers
66,22,190339,0,Loyal Customers
174,6,28394,1,Regular Shoppers
50,10,119440,3,Potential High-Value
16,3,7697,1,Regular Shoppers
29,20,212466,0,Loyal Customers
29,9,62391,1,Regular Shoppers
9,8,35642,1,Regular Shoppers
437,5,28925,2,Churned Customers
98,9,61091,1,Regular Shoppers
43,7,62693,1,Regular Shoppers
317,6,5830,2,Churned Customers
630,1,199,2,Churned Customers
23,14,184587,3,Potential High-Value
51,14,169086,3,Potential High-Value
71,43,291634,0,Loyal Customers
100,9,29991,1,Regular Shoppers
139,4,16296,1,Regular Shoppers
34,27,180703,0,Loyal Customers
286,8,110392,2,Churned Customers
173,4,2826,1,Regular Shoppers
416,3,18497,2,Churned Customers
3,9,205991,3,Potential High-Value
209,11,36360,1,Regular Shoppers
